 \multicolumn{2}{|c|}{binary} &  \multicolumn{2}{|c|}{binarydense} &  \multicolumn{2}{|c|}{binaryhnonsym} &  \multicolumn{2}{|c|}{binaryhv} &  \multicolumn{2}{|c|}{binaryvnonsym} &  \multicolumn{2}{|c|}{multi} &  \multicolumn{2}{|c|}{multirefrottarAll} & 
ResNet50 , 0.89 , 0.85 , 0.89 , 0.76 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 0.68
MobileNet , 0.95 , 0.89 , 0.96 , 0.72 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 0.69
MobileNetV2 , 0.92 , 0.55 , 0.93 , 0.42 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 0.89 , 1.0 , 0.8 , 1.0 , 0.68
NASNetMobile , 0.97 , 0.52 , 0.98 , 0.63 , 1.0 , 0.59 , 1.0 , 1.0 , 1.0 , 0.53 , 1.0 , 0.68 , 1.0 , 0.66
NASNetLarge , 0.64 , 0.56 , 0.87 , 0.67 , 0.99 , 0.68 , 1.0 , 0.92 , 1.0 , 0.54 , 0.97 , 0.38 , 1.0 , 0.67
VGG16 , 0.51 , 0.52 , 0.47 , 0.41 , 0.56 , 0.58 , 0.45 , 0.47 , 0.51 , 0.53 , 0.36 , 0.38 , 0.51 , 0.33
VGG19 , 0.51 , 0.51 , 0.46 , 0.42 , 0.56 , 0.58 , 0.45 , 0.46 , 0.51 , 0.53 , 0.36 , 0.37 , 0.51 , 0.34
Xception , 0.94 , 0.72 , 0.97 , 0.71 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 0.68
InceptionResNetV2 , 0.97 , 0.94 , 0.99 , 0.78 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 0.69
DenseNet121 , 0.95 , 0.87 , 0.96 , 0.62 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 0.69
DenseNet201 , 0.86 , 0.83 , 0.89 , 0.69 , 1.0 , 0.99 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 0.68
